tx_x,tx_y,rssi_dbm,aoa_rad,csi_real,csi_imag
0.5,0.5,-43.91322257811177,-2.356194490192345,0.0006190904080892445,-0.00015122472057503222
0.5,1.0,-42.236077984673685,-2.4149503129080676,-0.0005329408732141284,-0.00055995421674134
0.5,1.5,-44.701547446536395,-2.4805494847391065,-5.5029505942466095e-05,-0.0005793920923129372
0.5,2.0,-40.40493240343734,-2.5535900500422257,-0.0009067745753329681,0.0002978850461719907
0.5,2.5,-40.69697769941709,-2.6344941491974563,-0.0009228329498672245,-1.0483645569542012e-05
0.5,3.0,-45.19968521108416,-2.723368324010564,0.0002930778991118989,-0.000464889672233469
0.5,3.5,-44.04972460330869,-2.819842099193151,-0.00027920193888149216,0.0005618018418794232
0.5,4.0,-42.71572279498399,-2.922923707715851,0.0006274736900011204,-0.00037598917493611016
0.5,4.5,-39.285213123652724,-3.0309354324158977,-0.0009277156217209158,0.0005641350849044834
0.5,5.0,-38.593135190857154,3.141592653589793,0.0011713915768013189,-0.00010202798922083504
0.5,5.5,-43.59095311810723,3.0309354324158977,-0.0006531571648696581,0.00010397987072976414
0.5,6.0,-44.06054985833131,2.922923707715851,0.00044100610641579233,-0.0004450941923324854
0.5,6.5,-44.673206650993265,2.819842099193151,-3.471333623473078e-05,0.0005828688241312572
0.5,7.0,-43.4508966391527,2.723368324010564,0.0001698636247082097,-0.0006503145495618531
0.5,7.5,-44.32765712689162,2.6344941491974563,-0.0006069485488043754,2.8109827767960443e-05
0.5,8.0,-44.406340459350446,2.5535900500422257,-0.000495443082309632,0.0003421761532080951
0.5,8.5,-43.12813458829939,2.4805494847391065,0.00037085649493413786,-0.0005908313090215964
0.5,9.0,-44.62093331551442,2.4149503129080676,-0.0005462071560663891,-0.0002161650231941877
0.5,9.5,-43.735199819244784,2.356194490192345,0.0006442169069361705,-9.011446921908162e-05
1.0,0.5,-44.21436622154482,-2.297438667476622,-0.000596439963272053,-0.0001522931345514907
1.0,1.0,-45.08859329117131,-2.356194490192345,-0.0003058014240730041,-0.00046511048438649177
1.0,1.5,-41.47886207787833,-2.4227626539681686,-8.696942084261957e-05,0.0008389494665388831
1.0,2.0,-43.84410458589165,-2.498091544796509,4.691359644120983e-05,0.0006406687312058857
1.0,2.5,-40.809315861605455,-2.5829933382462307,0.00017168759349319652,-0.0008947093792699871
1.0,3.0,-43.36988098866985,-2.677945044588987,-0.0006684946217669068,-0.00011568978781529912
1.0,3.5,-42.182390084072836,-2.782821983319221,-0.0006908583303572739,0.0003573829769081121
1.0,4.0,-41.69768989798548,-2.896613990462929,0.00018530218996452394,0.0008013150391336476
1.0,4.5,-42.283003183616835,-3.017237659043032,0.0005291867278717462,0.0005577760416849175
1.0,5.0,-39.22831883280983,3.141592653589793,-0.0005753284201209266,-0.0009292188113539276
1.0,5.5,-39.17227694267606,3.017237659043032,0.0008977500134996016,0.0006356166409133685
1.0,6.0,-39.88766162894312,2.896613990462929,-0.00037292657429257426,0.0009418758340313793
1.0,6.5,-43.957930285974086,2.782821983319221,-0.0005501196922332058,0.0003151994001459609
1.0,7.0,-42.31104734889388,2.677945044588987,-0.0007254612864387958,-0.000247090291136535
1.0,7.5,-43.28257640340944,2.5829933382462307,7.895979899321483e-05,-0.0006807207812283991
1.0,8.0,-42.08560020460743,2.498091544796509,-0.0006996670606418615,0.00035931716920741647
1.0,8.5,-40.75866301203408,2.4227626539681686,-4.577541226127382e-05,0.0009152174976962335
1.0,9.0,-42.42752267763733,2.356194490192345,-0.0004426879755383394,-0.0006130514427231803
1.0,9.5,-45.02946393852153,2.297438667476622,-0.0003852403799065373,-0.00040703744990065846
1.5,0.5,-42.92503789215096,-2.2318394956455836,0.00016643873115859508,-0.0006944143556541422
1.5,1.0,-41.045740294435575,-2.289626326416521,-8.779082040177424e-05,0.0008822125422355612
1.5,1.5,-43.05833824189005,-2.356194490192345,-0.00041931166070942024,0.000564515362429211
1.5,2.0,-38.45085417048345,-2.432966381462123,0.0005037096125958432,-0.0010839232341034672
1.5,2.5,-40.3379404028244,-2.5213431676069717,0.00034362984570547497,-0.0008983625858935197
1.5,3.0,-43.764213150559684,-2.62244653934327,0.0006218999398958384,0.0001831915346318967
